644,Nurul Hasan,2,
645,Subashis Roy,1,
646,Tanbir Hayder,2,
647,Mehidy Hasan Miraz,16,
648,Sunzamul Islam,1,
649,Mohammad Saifuddin,7,
650,Abu Hider,1,
651,Nazmul Hossain Shanto,3,
652,Nazmul Islam,1,
653,Fazle Mahmud,2,
654,Ariful Haque,-,
655,Abu Jayed,-,
656,Lionel Cann,26.81,
657,Hasan Durham,8.75,
658,Dwayne Leverock,11.10,
659,Dean Minors,26.55,
660,Daniel Morgan,1.00,
661,Saleem Mukuddem,23.64,
662,George O'Brien,5.42,
663,Azeem Pitcher,9.00,
664,Irving Romaine,25.25,
665,Janeiro Tucker,819,
666,Kwame Tucker,–,
667,Treadwell Gibbons,–,
668,Kevin Hurdle,905,
669,Ryan Steede,312,
670,Delyone Borden,411,
671,Steven Outerbridge,120,
672,Clay Smith,–,
673,David Hemp,114,
674,Malachi Jones,458,
675,Stefan Kelly,389,
676,Arthur Pitcher,79,
677,Oliver Pitcher,15,
678,Dwight Basden,–,
679,James Celestine,–,
680,Jekon Edness,–,
681,Jacobi Robinson,138,
682,Chris Lonsdale,12,
683,Rodney Trott,537,
684,Kyle Hodsoll,102,
685,Oronde Bascome,18,
686,Chris Foggo,1,
687,Tamauri Tucker,–,
688,Dennico Hollis,42,
689,McLaren Smith,–,
690,Chris Douglas,–,
691,Glenn Blakeney,–,
692,Fiqre Crockwell,–,
693,Christopher Chappell,38,
694,Franklyn Dennis,47,
695,Cornelius Henry,6,
696,Cecil Marshall,10,
697,Bryan Mauricette,20,
698,Jitendra Patel,3,
699,Glenroy Sealy,73,
700,Martin Stead,10,
701, Tariq Javed,15,
702,John Valentine,3,
703,John Vaughan,30,
704,Robert Callender,0,
705,Charles Baksh,0,
706,Ashish Bagai,"1,964",
707,Ian Billcliff,529,
708,Desmond Chumney,397,
709,Austin Codrington,47,
710,John Davison,799,
711,Nicholas de Groot,44,
712,Joseph Harris,91,
713,Davis Joseph,13,
714,Ishwar Maraj,98,
715,Abdul Sattaur,20,
716,Sanjayan Thuraisingam,45,
717,Barry Seebaran,4,
718,Nicholas Ifill,16,
719,Ashish Patel,25,
720,Abdool Samad,740,
721,Geoff Barnett,455,
722,Umar Bhatti,378,
723,Sunil Dhaniram,915,
724,Haninder Dhillon,14,
725,Stewart Heaney,41,
726,Henry Osinde,64,
727,Kevin Sandher,35,
728,George Codrington,235,
729,Don Maxwell,166,
730, Qaiser Ali,244,
731,Sandeep Jyoti,264,
732,Surendra Seeraj,13,
733,Durand Soraine,14,
734,Steven Welsh,41,
735,Asif Mulla,482,
736,Anderson Cummins,27,
737,Trevin Bastiampillai,175,
738,Mohsin Mulla,1,
739, Shahzad Khan,4,
740, Abdul Jabbar,59,
741,Calvert Hooper,49,
742,Arvind Kandappah,97,
743, Mohammad Iqbal,54,
744,Jason Patraj,21,
745,Aftab Shamshudeen,3,
746,Harvir Baidwan,220,
747,Zubin Surkari,328,
748, Sami Faridi,19,
749,Ruvindu Gunasekera,455,
750,Eion Katchay,23,
751,Manoj David,82,
752,Karun Jethi,87,
753, Rizwan Cheema,764,
754, Balaji Rao,59,
755, Khurram Chohan,165,
756,Shaheed Keshvani,21,
757,Zameer Zahir,3,
758,Hiral Patel,468,
759,Jawad Dawood,25,
760, Usman Limbada,189,
761,Nitish Kumar,217,
762,Parth Desai,8,
763,Jimmy Hansra,421,
764,Tyson Gordon,27,
765,Karl Whatham,18,
766, Hamza Tariq,116,
767, Junaid Siddiqui,67,
768,Rustam Bhatti,3,
769, Zahid Hussain,9,
